educator_id,first_name,last_name,email,role,certification,school_id,hire_date,status
1ec1959d-beee-4061-9124-e3257153d563,Layla,Miller,layla.miller1@example.com,assistant,special_ed,dec0d1c2-3afd-42dc-b41c-f3ad5d5b9b24,2023-03-24,on_leave
4221b94e-10f4-4aa4-b624-7c4c39d67c60,Ava,Thomas,ava.thomas2@school.edu,specialist,elementary,54efc792-15e8-4edf-b463-c3fb0cffef14,2026-02-20,active
10fa2826-8449-484b-819b-d150e2243b29,Mason,Flores,mason.flores3@education.org,lead_teacher,special_ed,c6e42cb4-e6de-4841-86c7-fe00bd66bd5b,2024-02-24,active
16a04692-8043-43d9-86a0-b01e0b5686bf,Isabella,Taylor,isabella.taylor4@example.com,lead_teacher,elementary,f277f27b-bb46-4f44-a66e-776fc94dfb1d,2026-02-08,active
97db7081-9a33-45f0-bed6-ae5309936c55,Jackson,Perez,jackson.perez5@example.com,specialist,ESL,e90fd1a6-c3e6-4489-ba3c-bab83e479e34,2018-08-15,on_leave
6ba95bc2-1c96-4bda-80db-6c0969346340,Noah,Garcia,noah.garcia6@education.org,administrator,special_ed,ef06a233-254a-4212-bc4d-4c981116338d,2025-09-30,active
05dfbc50-400e-4cb1-961e-dec1ce9dc2d8,Isabella,Green,isabella.green7@school.edu,assistant,ESL,9c753fbb-87d9-4088-a5d8-1d94279cfd36,2024-11-27,active
6260106f-3e34-42fe-8756-fd86f834405b,Emma,Davis,emma.davis8@example.com,assistant,early_childhood,67894daf-2798-473f-a133-34509c85a5b2,2022-07-20,active
7714e24f-50ac-453d-8c33-627b88b9f5f4,Sebastian,Rodriguez,sebastian.rodriguez9@example.com,specialist,special_ed,ef06a233-254a-4212-bc4d-4c981116338d,2017-12-02,on_leave
c5664628-e557-47d9-bb60-0981f7ab7c59,Thomas,Thomas,thomas.thomas10@education.org,lead_teacher,special_ed,b9772d10-67bf-4262-9d92-9cc00f8e27dc,2018-08-13,active
297ffae4-e5f8-4d98-b7e1-b460f3eaab8e,Abigail,Flores,abigail.flores11@education.org,assistant,elementary,677ebdf9-ced9-4d4a-8a2f-6b589b2097f1,2026-01-25,retired
868eaa2e-da0f-4043-b659-9baafd83c8c7,Benjamin,Clark,benjamin.clark12@example.com,assistant,special_ed,961f8a8c-7080-469b-b989-ff844d396f26,2025-05-08,active
96535573-7681-45aa-8200-4d5caed33aea,Logan,Thomas,logan.thomas13@school.edu,assistant,early_childhood,8b902c90-6686-47cd-ad47-fa5721327dd2,2025-12-13,on_leave
9de09954-59ac-4458-a471-ce3404978bbc,Aria,Anderson,aria.anderson14@example.com,administrator,special_ed,4d436791-1c24-4038-9be1-6a252a5d08a1,2025-11-20,active
df708ecb-eb55-4386-b4cb-d71bd1d6c020,Amelia,Anderson,amelia.anderson15@example.com,assistant,ESL,8423edca-d258-48f3-8540-284c69d815f2,2026-01-11,active
43cddaec-a986-4d5a-a239-9937383ddca3,Caleb,Moore,caleb.moore16@school.edu,administrator,special_ed,3d6d7dd6-fe7e-479a-afb8-d35862e3fe7f,2017-01-14,active
bb7da87a-d5a4-4880-88e9-c312a637e941,Benjamin,Nguyen,benjamin.nguyen17@school.edu,lead_teacher,early_childhood,51ab44f2-0841-44b8-bc76-8d2344501e8e,2019-03-10,active
0ffa7d3b-ac4b-40f4-9989-71a1cf9cc1c2,Luna,Ramirez,luna.ramirez18@education.org,lead_teacher,ESL,7caa99e5-aa2f-43f6-93ad-68f80ce21053,2024-06-06,active
a3fef154-d9b1-47b7-8667-fa9511cd663e,Jackson,Ramirez,jackson.ramirez19@example.com,assistant,special_ed,8f578f11-a663-41a3-ac1c-ca779cab1f35,2016-10-03,active
a98d3414-4ca5-4c7c-9e26-95747affddc8,Ethan,Flores,ethan.flores20@school.edu,lead_teacher,special_ed,4dc45fc6-fadb-4868-9f4e-cddd631c7abe,2023-09-16,active
cb916474-8f4a-43a9-a28e-685536b628ee,Luna,Sanchez,luna.sanchez21@education.org,specialist,elementary,3d4b41e3-0641-4c4d-90cc-150d0b9cc0f9,2020-11-02,active
1f8c23be-3d60-4ca4-b69e-1d86d3f0bb1b,Thomas,Mitchell,thomas.mitchell22@example.com,specialist,ESL,9c753fbb-87d9-4088-a5d8-1d94279cfd36,2020-07-05,active
7f5c03cc-ff9a-41cf-bc68-3b80c74e7f3e,Evelyn,Wilson,evelyn.wilson23@school.edu,specialist,ESL,54efc792-15e8-4edf-b463-c3fb0cffef14,2019-09-01,active
02ac616c-2abd-4451-b201-d7cea5f79e8b,Scarlett,Walker,scarlett.walker24@education.org,assistant,early_childhood,7b9e1d75-0e5e-45b4-b563-e22f77fe40b5,2018-08-28,active
